| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 | add    | FROM       | golang:1.17.1-alpine AS builder                                                         |          |         2 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 | delete | FROM       | golang:1.13.10-alpine AS builder                                                        |          |         2 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 | add    | FROM       | alpine:3.14.2                                                                           |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 | delete | FROM       | alpine:3.11                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 |          18 | f2e4721a6bc62e68654a99f7d1743622db9f3759 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 |          18 | f2e4721a6bc62e68654a99f7d1743622db9f3759 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          18 | f2e4721a6bc62e68654a99f7d1743622db9f3759 |          19 | 98fbd5bc70cd9afefc29873be39412fae925191c | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          18 | f2e4721a6bc62e68654a99f7d1743622db9f3759 |          19 | 98fbd5bc70cd9afefc29873be39412fae925191c | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          19 | 98fbd5bc70cd9afefc29873be39412fae925191c |          20 | f0349903aecfe32aaba4e60d3ae791e649bc3c8f | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 5        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          19 | 98fbd5bc70cd9afefc29873be39412fae925191c |          20 | f0349903aecfe32aaba4e60d3ae791e649bc3c8f | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 5        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          20 | f0349903aecfe32aaba4e60d3ae791e649bc3c8f |          21 | d848060f9cbdbaf6676a79cb48565c9c36d6764e | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 4        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          20 | f0349903aecfe32aaba4e60d3ae791e649bc3c8f |          21 | d848060f9cbdbaf6676a79cb48565c9c36d6764e | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 4        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          21 | d848060f9cbdbaf6676a79cb48565c9c36d6764e |          22 | 5e288b540ed17dd5fa974b972b0a60e590be3474 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
